CC(C)c1cnc(CCl)nc1 ZINC000095757441
CCOC(=O)[C@@H]1CCCN(C(=O)[C@H](C)Cl)C1 ZINC000019485786
C[C@@H]1C[C@H]1CCCCBr ZINC000238458339
Cc1cccc2c1N(C(=O)CCl)CCC2 ZINC000037391416
C[C@@H](Cl)C(=O)c1cccc(F)c1C#N ZINC000307231590
CC(F)(F)C1(CBr)CCOCC1 ZINC000950757449
CC(C)(C)C(=O)C(Cl)Cl ZINC000002015499
C#CCBr ZINC000001648237
OC[C@@H]1C[C@@H]1Cl ZINC000090225662
COC[C@@H](C)NC(=O)NC(=O)[C@@H](C)Cl ZINC000036904976
COc1ccc(C)cc1C(=O)CCl ZINC000031893363
BrCC12OC3CC(CC(C3)O1)O2 ZINC000002555229
COC(=O)Cc1cccc(CCl)c1 ZINC000104451592
ClC1(Cl)C[C@@H]1Br ZINC000118030960
Fc1cccc(CCl)n1 ZINC000021985780
O=Cc1ccccc1NC(=O)CCl ZINC000039243381
CCC[C@@H](C)Br ZINC000002041098
CC1(C(=O)CBr)CCCC1 ZINC000039055405
Cc1nc2ccccc2n1C(=O)C(Cl)Cl ZINC000051075587
Cl[C@H]1CCc2oncc2C1 ZINC000575424060
CCn1nc(C)cc1CBr ZINC000085166096
CCCCNC(=O)NC(=O)[C@@H](C)Cl ZINC000036904953
CC(C)(CCl)[n+]1ccccc1 ZINC000005380163
COc1cc(CCl)ccc1F ZINC000014989246
CC(C)(C)[C@@H](NC(=O)CCl)c1cccs1 ZINC000060273301
O=CCCl ZINC000008220699
O=C1C2C3(CCl)C1C23CCl ZINC000001609394
ClCc1coc(Oc2ccccc2)n1 ZINC000039321283
S=C1CCC[C@@H]1Cl ZINC000228950446
Cc1ccc(C(=O)CCCl)cc1 ZINC000001668583
O=C(CCl)Cc1ccc(F)cc1 ZINC000019436014
CS(=O)(=O)Cc1ccc(C(=O)CCl)cc1 ZINC000107831655
O=Cc1ccccc1OCCCBr ZINC000001736213
CCC[C@@H](O)Cl ZINC000002569318
C[C@@H]1C[C@H]1CCCCCBr ZINC001857786546
O=c1cc([C@H]2CCCO2)nc(CCl)[nH]1 ZINC000072209930
C=CCNC(=O)[C@H](C)Cl ZINC000012504900
N#Cc1cc([N+](=O)[O-])ccc1CBr ZINC000064034328
O=C(CCCl)NCc1cccs1 ZINC000006334852
Cc1cc(F)c2c(CCl)cc(=O)oc2c1 ZINC000085399728
OCC[C@@H](O)CCl ZINC000002569664
Cn1ccn(C(F)(F)[C@@H](F)Cl)c1=S ZINC000014162501
O=C(CCl)Nc1cc(F)c(F)cc1F ZINC000000153686
C[C@@H](Cl)c1nnc(C(F)F)o1 ZINC000035658164
CC[C@@H](O)[C@@H](C)Br ZINC000032211190
O=C(CCl)N1CCCC1 ZINC000003289322
CCOC(=N)CCCl ZINC000017002002
CCO[Si](C)(CCCCl)OCC ZINC000169746903
O=C(CCCl)NC(=O)NCc1ccccc1 ZINC000009738192
CCOCCl ZINC000006661811
C[C@H](Br)CBr ZINC000002041259
C[C@@H](Cl)C(=O)c1ccc(F)cc1F ZINC000012504941
C[C@@H](Cl)C(=O)N1CC2(CN(C)C(=O)O2)C1 ZINC001875376417
O=C(CCl)c1cc[nH]c1 ZINC000045787405
Cl[C@@H]1CCCCC12OCCO2 ZINC000002046737
O=C(CCl)NNC(=O)c1ccccc1O ZINC000000874205
ClCc1nnc2n1CCOCC2 ZINC000253183510
CC[C@H]1C[C@@H](Br)C(=O)O1 ZINC000114964941
ClCc1nnnn1Cc1cccs1 ZINC000054743977
CCC(C)=CCBr ZINC001911535316
CN(C)c1ccc(C(=O)CCCCl)cc1 ZINC000036203278
CCOC(=O)c1cc(C)cnc1CCl ZINC000098179680
CCCc1ccccc1CBr ZINC000204322960
COC(=O)[C@@H](Cl)C(=O)c1ccco1 ZINC000100133267
CCCCCC(=O)CBr ZINC000059988439
O=C(CCCl)c1ccc(O)cc1 ZINC000001678195
C[C@H](Cl)C(=O)N[C@@H]1COCc2ccccc21 ZINC001875377165
C[C@@](F)(Cl)CCl ZINC000063148423
CCc1cccc(CC)c1NC(=O)CCCl ZINC000006125520
NC(=O)[C@@H](F)Br ZINC000008698277
C[C@H](Cl)C(=O)N[C@@H]1CCCC[C@H]1C ZINC000238856711
CCCn1c(CCCl)nc2ccccc21 ZINC000036909970
CCOC(=O)c1cc(CBr)ccn1 ZINC000095936112
COCC(=O)NNC(=O)CCl ZINC000095347602
C=CCOC[C@H](Br)CO ZINC000033605191
COCc1nocc1CCl ZINC001535643105
BrCCOC1CCCCC1 ZINC000019415235
O[C@H](CCl)c1ncccn1 ZINC000039121000
CCn1cc(CNC(=O)CCl)cn1 ZINC000002536507
C[C@@H](CCl)CN1CCCCC1 ZINC000039375567
O=C(CCCl)c1c[nH]c2ncccc12 ZINC000083236049
C[C@H](Cl)C(=O)Nc1ncnc2[nH]cnc12 ZINC000009791079
CCc1ccc([C@H](Cl)CC(C)C)cc1 ZINC000082437442
O=C(CCl)CCCCCl ZINC000104712230
ClCc1ccsc1 ZINC000016124406
ClCc1cc(CC2CC2)on1 ZINC001857778589
NC(=O)c1ccc(C(=O)CBr)s1 ZINC000095933063
Cc1cc(C)n(NC(=O)CCl)n1 ZINC000074941644
Cc1cc(C)c(C)c(OCCBr)c1 ZINC000020425563
Cc1noc(CCl)c1[N+](=O)[O-] ZINC000521399164
ClC1c2ccccc2CCc2ccccc21 ZINC000001760832
O[C@@H]1C[C@H]1Cl ZINC000039616854
CC1CCN([C@H](C)C(=O)NCCCCl)CC1 ZINC000575423421
COC(=O)[C@H](Cl)c1cc(F)ccc1F ZINC000050978087
OCC1(CCl)CN(Cc2ccccc2)C1 ZINC001772716236
COC[C@@]1(CBr)C=CCC1 ZINC001554770387
CC(C)Cn1nccc1NC(=O)CCl ZINC000038341978
C/C=C(\CBr)C(=O)OC ZINC000043763164
BrCc1ccc(C2CCCC2)cc1 ZINC000088190266
CCOc1ccc(C(=O)[C@H](C)Cl)cc1 ZINC000003394170
ClC(Cl)C(Cl)C(Cl)Cl ZINC000002018935
ClCCCOC[C@H]1CO1 ZINC000104687990
O[C@H]1c2ccccc2C[C@@H]1Cl ZINC000001717829
CCC(CC)CNC(=O)C(Cl)Cl ZINC000001655498
O=C1CCC[C@@H]1Br ZINC000033992166
C[C@@]12CC[C@@H](C(=O)C1=O)[C@]2(C)CBr ZINC000002505762
NC(=O)NC(=O)[C@H](Cl)[N+](=O)[O-] ZINC000106126979
O=C1OCC[C@@H]1I ZINC000033506160
O=C1c2ccccc2C[C@@H]1Cl ZINC000001995626
COC(=O)c1cc(CBr)cs1 ZINC000015442935
CC(C)CCCI ZINC000088190235
C[C@H]1O[C@@H]1CCl ZINC000038171410
Cc1cc(C)n(C(=O)CCl)n1 ZINC000000809713
CC[C@H](C)OCCBr ZINC000048264467
CC[C@H](Cl)C(=O)c1ccccc1F ZINC000306826395
C[C@@]1(CBr)CNC(=O)C1 ZINC000536948497
O=C(CBr)c1ccc(O)cc1 ZINC000001849944
ClCC1=CSC2=NCCCN12 ZINC000006658025
CS(=O)(=O)c1nnc(CCl)s1 ZINC000039240462
CCOC(=O)C[C@H](Cl)c1ccccc1 ZINC000034455588
CCC[C@H](O)Cl ZINC000034101261
ClCCCSc1ccccc1 ZINC000001703044
CCc1oc(C(=O)OC)cc1CCl ZINC000040449069
BrCCCN1CCCCC1 ZINC000039375564
O=C1c2cn[nH]c2CC[C@H]1Br ZINC000072403677
O=C(CCl)N1CCc2oc3ccccc3c2C1 ZINC001875374804
COCCCC(=O)CCl ZINC000201514522
C[C@@H]1CCC[C@@H](C)N1CCCCl ZINC000039341552
C[C@H]1CC(=O)Nc2ccc(CCCl)cc21 ZINC000147349077
O=C1C[C@@H]2CS(=O)(=O)[C@H](Cl)[C@@H]2O1 ZINC000005494932
CC[C@H](Cl)c1ccccc1 ZINC000049701344
C[C@@H](Cl)C(=O)N(C)[C@H]1CCCCNC1=O ZINC001875363885
CCC(=O)NNC(=O)[C@@H](C)Cl ZINC000062152041
CC(C)c1c[nH]nc1CNC(=O)CCl ZINC001875369039
CC(C)C[C@H](C)CBr ZINC000060054129
C[C@H]1C[C@@H]1C(=O)CCl ZINC000039054712
ClCC1CCN(c2ncccn2)CC1 ZINC000034318421
Cc1c(C)c(C(Cl)Cl)c(C)c(C)c1C=O ZINC000000042570
CC(C)c1ccc([C@@H](C)Br)cc1 ZINC000057368616
Cc1nnc(NC(=O)[C@H](C)Cl)s1 ZINC000004079092
