N#Cc1cc(Br)cc(C#N)c1F ZINC000222374426
COc1ccc(Br)cc1OC(C)C ZINC000038537111
N#Cc1cc(F)c(Br)cc1O ZINC000148858459
Cc1nc(Br)c(C#N)c(C)c1C ZINC000095533162
COC(=O)c1cnc(C)c(Br)c1 ZINC000088315045
O=C1CCc2cc(Cl)c(Br)cc21 ZINC000205899746
Oc1cc(Br)cc(N2CCCC2)c1 ZINC000118523582
O=Cc1ccnc(-c2ccc(Cl)cc2)c1 ZINC000032251708
N#CCc1cc(Br)cnc1F ZINC000238594010
Brc1ccc2c(c1)Cc1ccccc1-2 ZINC000001038911
O=c1[nH]nc(-c2cccc(Br)c2)[nH]1 ZINC000006511586
FC(F)c1cc(Cl)cc(Br)c1 ZINC000074938395
Cc1cc(=S)[nH]cc1Br ZINC000086032231
C[C@@]1(c2ccc(Br)cc2)O[C@@H]1C#N ZINC000306361678
CSc1cc2[nH]cnc2cc1Br ZINC000307016655
COc1ncc(Cl)cc1C=O ZINC000034091234
CNC(=O)COc1ccccc1Br ZINC000006650300
O=Cc1cc(-c2ccccc2)cnc1Cl ZINC000005059289
OCCc1ccc(Cl)cc1Br ZINC000126800534
Brc1ccc(SC[C@@H]2CO2)cc1 ZINC000037381622
Brc1ccc2c(c1)CCCCO2 ZINC000015043125
Brc1cccc2ccoc12 ZINC000006095048
O=Cc1ccc(-c2c(F)cccc2Cl)cn1 ZINC000725271029
Brc1ccccc1-c1cnco1 ZINC000004277361
N#CCc1ccnc(Br)c1 ZINC000035569992
Oc1ccc(Br)cc1Cl ZINC000000064966
Cn1ncc2ccc(Br)cc21 ZINC000021982168
O=[N+]([O-])c1cc(Br)[n+]([O-])cc1F ZINC000079052086
CCOC(=O)c1cc(Br)ccc1C ZINC000021303512
Clc1ccc(C2CC2)c(Br)c1 ZINC000072193374
C=CCOc1cc(F)cc(Br)c1 ZINC000086336187
Cn1cc2cc(Br)c(F)cc2n1 ZINC000575447753
COc1ncc(Br)s1 ZINC000008614804
Cc1oc(C#N)cc1Br ZINC000085393678
Cc1cccc2ccc(Br)cc12 ZINC000071256629
N#Cc1cccc(F)c1Br ZINC000003880148
Cc1cc(Br)cc(CC#N)c1 ZINC000097442026
NC(=O)c1n[nH]nc1I ZINC000004396482
Cc1cc(Br)c2cccnc2c1 ZINC000085385966
Clc1sccc1Br ZINC000001023254
Cn1cnnc1-c1ccccc1Br ZINC000014951161
OCCn1ccc(Br)n1 ZINC000143418831
N#Cc1ccc(I)cc1F ZINC000002243113
O[C@H]1CCCOc2cc(Br)ccc21 ZINC000037180244
O=C1Cc2nc(Br)cnc2N1 ZINC000237970916
OCc1cc(Br)c2c(c1)OCO2 ZINC000024045542
Cc1cc(Br)cnc1-n1cnnc1 ZINC000021953402
CC(C)n1ncc2cc(C=O)c(Cl)nc21 ZINC000004205350
Cc1cc(C)c(Br)c(O)c1 ZINC000082382356
CC(C)(C)OCc1cccc(Br)c1 ZINC000049601132
O=[N+]([O-])c1cc(Br)c[nH]1 ZINC000306308692
COc1ccc(Br)cc1C(=O)Cl ZINC000005917944
Fc1nccnc1Br ZINC000095630943
CN1C(=O)NCc2cc(Br)ccc21 ZINC000255189642
FCCCOc1cccc(Br)c1 ZINC000039325914
N#CCOc1ccc(Br)cc1 ZINC000003165138
COc1cc(Br)cc(C2CC2)c1 ZINC000072193360
O=C1Cc2cccc(Br)c2N1 ZINC000002577881
O=c1[nH]cnc2c(Br)n[nH]c12 ZINC000032250401
NC(=O)CCc1cc(Br)no1 ZINC000065336804
CCc1c(Br)cc(C#N)n1C ZINC000225305515
Cc1nc(-c2cc(Br)cs2)no1 ZINC000078774479
Cc1nc(CO)ccc1Br ZINC000090413207
Clc1ccn2c(Br)cnc2c1 ZINC000038537196
O=Cc1sc(Br)nc1Cl ZINC000536948635
CCCOc1c(C=O)cc(Cl)cc1OC ZINC000002782489
Clc1ccc2c(Br)nccc2c1 ZINC000071482509
N#CCOc1ccc(Br)cc1Cl ZINC000011834429
CC(=O)Oc1ccc(F)c(Br)c1 ZINC000117781483
Cc1cc(I)ncc1C=O ZINC000072225971
COc1cc(O)c(C(C)=O)cc1Br ZINC000003198416
COC(=O)c1nccc(C)c1Br ZINC000238361955
COC(=O)c1c(Br)cccc1OC ZINC000047202235
[N-]=[N+]=Nc1ccc(I)cc1 ZINC000033604912
O=Cc1cc(F)ncc1Cl ZINC000095616309
CC(C)OC(=O)c1ccccc1Br ZINC000000162650
CCOc1cc(Br)ccc1[N+](=O)[O-] ZINC000034581478
FC(F)c1cnc(Br)cn1 ZINC000214941523
Brc1nccc2cc[nH]c12 ZINC000012649393
C=CC[C@@H](O)c1ccccc1Br ZINC000043560701
C=Cc1ccc(Br)cc1 ZINC000001690185
NC(=O)CCn1ccc(Br)n1 ZINC000252499384
FC(F)(F)c1cn[nH]c1Br ZINC000221655726
O=C1OCOc2cccc(Br)c21 ZINC000258833548
FC1(F)CC(c2ccc(Br)cc2)C1 ZINC000107270277
O=Cc1c(Br)ccnc1Cl ZINC000071254881
Clc1cc(Br)c2n[nH]nc2c1 ZINC000071791189
Fc1cc(Br)cc2cn[nH]c12 ZINC000089197231
O=Cc1c(Br)cnn1CC(F)F ZINC000685936207
O=C(Cl)c1sccc1Br ZINC000002555785
CC1(C)CCc2ccc(Br)cc21 ZINC000116896453
Cc1nc2ncc(Br)cc2[nH]1 ZINC000015979080
Cc1nc2nccnc2cc1Br ZINC000026459799
OCc1cc(Br)no1 ZINC000002523038
N#CC1(c2ccc(Br)c(F)c2)CC1 ZINC000034639061
C[Si](C)(C)c1ccc(Br)nc1F ZINC000584879896
C#Cc1c(F)ccc(Br)c1Cl ZINC000258833867
CC(C)n1ccnc(Br)c1=O ZINC000061767245
C[C@H](NC(N)=O)c1ccc(Br)cc1 ZINC000001431602
N#CCc1n[nH]cc1I ZINC000096509084
COc1cccc(Cl)c1-c1ccc(C=O)cn1 ZINC000725376779
CCc1cc([N+](=O)[O-])cc(C)c1Br ZINC000045889809
N#Cc1ccc(I)nc1 ZINC000012471965
Brc1cccc(N2CCC2)c1 ZINC000116882317
OC/C=C/c1ccc(Br)cc1 ZINC000012336391
COc1cc(SC)c(Br)cn1 ZINC000090413351
CCC(=O)c1cccc(Br)n1 ZINC000145121898
O=Cc1ccc(-c2cc(Cl)ccc2Cl)o1 ZINC000000035793
COc1c(Br)ccc(F)c1C#N ZINC000205775011
Fc1cccc(C2CC2)c1Br ZINC000114117792
CCn1c(C=O)nc2cc(Cl)ccc21 ZINC000053944100
Clc1nncc2cc(Br)ccc12 ZINC000085210512
Fc1cc(S)c(Cl)c(Br)c1 ZINC000263620203
N#Cc1ccc(Br)c2nsnc12 ZINC000575442731
Brc1cc(C2CC2)ncn1 ZINC000044118991
OCc1nc(Br)n[nH]1 ZINC000042384327
Clc1c(Br)cnc2[nH]ncc12 ZINC000085223430
C[C@@H](O)Cc1ccc(Br)c(F)c1 ZINC000072305104
FC(F)(F)c1ccc(Br)nn1 ZINC000072193270
CC(=O)c1scnc1Br ZINC000082379235
CC(C)c1nn(C)cc1Br ZINC000078770743
Clc1noc2cc(Br)ccc12 ZINC000051951616
CCn1cnc(Br)n1 ZINC000032190001
CCOCc1cc(F)ccc1Br ZINC000230531982
CCc1ncnc(Cl)c1Br ZINC000085451193
N#CC1CN(c2ncc(Br)cn2)C1 ZINC000306989124
CC(C)Cc1nc(Br)no1 ZINC000095098289
N#Cc1ccccc1-n1cc(Br)cn1 ZINC000038054246
COc1ccc2c(Br)c[nH]c2n1 ZINC000044712839
Cc1c(Br)ccc2c1NC(=O)CC2 ZINC000238504535
Cn1nc(Br)nc1-n1ccnc1 ZINC000061714991
N#[N+]c1ccc(I)cc1 ZINC000034598189
Cc1c[nH]nc1Br ZINC000091302178
Fc1ccc([B-](F)(F)F)cc1Br ZINC000307124361
CCCNC(=O)c1cc(Br)ccn1 ZINC000098175358
CCC(=O)c1cc(Br)c(C)s1 ZINC000000334286
COCc1nnc(Br)s1 ZINC000011920186
Cc1cc(Cl)c(C)c(C=O)c1O ZINC000004299096
OCc1csc2ccc(Br)cc12 ZINC000005177614
COc1cc(Br)ncc1O ZINC000238460908
CCCOc1nc(Br)cs1 ZINC000072193064
On1cc(Br)cn1 ZINC000036404221
CC(C)OCc1nn(C)cc1Br ZINC000146728166
OCc1cc2c(Br)cccc2s1 ZINC000066324199
COc1c(O)ccc(C=O)c1Br ZINC000048564418
CCc1ccc(Br)c(Cl)c1 ZINC000113414603
NC(=O)c1n[nH]cc1I ZINC000072339157
C=CCSCc1ccc(Br)cc1 ZINC000220535115
CCn1c(Br)nc2ccccc21 ZINC000075842563
Cc1c([N+](=O)[O-])cc[n+]([O-])c1Br ZINC000003847025
[N-]=[N+]=CC(=O)c1ccc(Br)cc1 ZINC000013543602
COCc1nn(C)cc1Br ZINC000146842342
O=Cc1ccc(-c2cc(F)cc(Cl)c2)cc1 ZINC000085477318
O=C1CCc2cc(Br)c(F)cc2C1 ZINC000306857022
Cc1nc(Br)ns1 ZINC000082397624
O=C1Nc2cccc(Br)c2[C@@H]2C[C@@H]12 ZINC000100643025
Cc1oncc1I ZINC000004277305
Cc1c(CO)[nH]c2ccc(Br)cc12 ZINC000019093298
CCn1ncc(Br)c1C(=O)Cl ZINC000006125633
Cc1cccc(-c2ccc(C=O)o2)c1Cl ZINC000000456167
Oc1cc(Cl)ccc1Br ZINC000002512340
Brc1nncc2ccccc12 ZINC000035663623
Cc1[nH]c2ncnn2c(=O)c1Br ZINC000100116335
O=Cc1c(Br)cnn1CCF ZINC000685936096
O=Cc1cc(Cl)cc2ccoc12 ZINC000107341522
Brc1cccc2ccncc12 ZINC000002540586
Brc1cnc2c(c1)CCO2 ZINC000076637924
Brc1ccnc(-c2ccccn2)c1 ZINC000038531737
Fc1c(Br)cc2nn[nH]c2c1F ZINC000085477296
CN1C(=O)Cc2cc(Br)ccc21 ZINC000003316916
Cc1c(Br)ccc2cn[nH]c12 ZINC000089200422
CCOc1ccc(C)c(Br)c1 ZINC000144309146
O=Cc1cc(Cl)ccc1C#Cc1ccccc1 ZINC000145738086
Fc1cc(Br)c2[nH]ncc2c1 ZINC000080441556
N#CCc1cc(Br)ccc1[N+](=O)[O-] ZINC000032500992
Brc1ccc(C2=CCCCC2)cc1 ZINC000003203574
COC(=O)c1nc(Br)cs1 ZINC000072204584
Cc1ccc(-c2cncc(Br)c2)cc1 ZINC000034584371
O=Cc1cc(-c2ccccc2)ncc1Cl ZINC000090411398
N#CCCC(=O)c1cccc(Br)c1 ZINC000002392777
COc1ccc(C=O)c(Cl)c1O ZINC000002580732
O=C1CCc2cc(Br)cc(Cl)c21 ZINC000238565515
CCOC(=O)c1cc(C)cc(Br)c1 ZINC000059047351
Cc1cc(Br)c(F)c(C#N)c1 ZINC000238457398
Cc1ccc(O)cc1Br ZINC000012359519
CCOC(=O)c1c(C)sc(C=O)c1Cl ZINC000048608133
Clc1cc(Br)cc2[nH]cnc12 ZINC000076938838
Cn1cc(Br)[n+]([O-])n1 ZINC000081991271
C[C@@H](S)c1ccc(F)c(Br)c1 ZINC000061689600
NC(=O)c1cc(F)c(Br)cc1F ZINC000098214266
Cc1cc(F)c(Br)cc1C ZINC000072232715
CC(C)CCn1cnc(Br)n1 ZINC000066442602
O=CNc1ncc(Cl)cc1Br ZINC000062701873
