C1CCC(CC[C@H]2CCCN2)CC1 ZINC000003732361
CCCCCCCCNCc1ccc(OC)cc1 ZINC000100042577
CC[C@@]1(O)CCCNC1 ZINC000019090471
CCOC(=O)[C@H](CN)[C@H](C(C)C)N(C)C ZINC000072210490
CCn1ncnc1[C@H](C)N ZINC000019092199
CCN(CC[C@H]1CCCNC1)Cc1ccccc1 ZINC000042783386
CC(C)[C@@H](N)CCN1CCCC1 ZINC000058058390
CCN(CC)C(=O)c1ccc(CN)cc1 ZINC000019722284
CN[C@@H](CN)c1ccccc1C(F)(F)F ZINC000050269792
CCCCN[C@@H]1CS(=O)(=O)C[C@H]1O ZINC000004226941
CCCCN1C[C@@H]2CNC[C@@H](C2)C1 ZINC000095093753
CC(C)Nc1ncc(CNCCN(C)C)cn1 ZINC000062718442
CN1CCN(c2ccc(N)cc2F)CC1 ZINC000000169801
CNC[C@@H]1CC(=O)N(C)C1 ZINC000020438678
Nc1ccc(/N=N/c2ccncc2)c2ccccc12 ZINC000017917277
Fc1ccccc1OCC[C@H]1CCCCN1 ZINC000020438981
CC1(C)CN[C@H](c2ccccc2)c2ccccc21 ZINC000019789180
CC(C)CNC[C@@H](C)c1ccccc1 ZINC000010474883
NC[C@H](C[C@@H](N)c1ccccc1)C(F)(F)F ZINC000256051007
Fc1ccc(-c2n[nH]c3c2[C@H]2CC[C@H](C3)N2)cc1 ZINC000110751191
CC(C)OC(=O)c1cccnc1N1CC[C@H](N)C1 ZINC000118347914
c1ccc2c(c1)CC[C@@H](N1CCNCC1)C2 ZINC000020999719
N#Cc1cc(N)cc(C(F)(F)F)c1 ZINC000021981693
CNC(=O)c1cn(CC2(O)CCNCC2)nn1 ZINC000096530292
NC[C@H](c1ccco1)N1CCc2ccccc2C1 ZINC000020225230
Cn1cncc1[C@@H]1CCCNC1 ZINC000096862950
CCc1nc2ncnc(N)n2n1 ZINC000020213761
NC[C@@H]1CCCCN1CCC1CCCC1 ZINC000096523617
Nc1ccccc1C(=O)N/N=C\c1cccs1 ZINC000033303542
COC[C@H](O)C1(CN)CCC1 ZINC000085396667
CC(C)[C@H]1NCCc2sccc21 ZINC000041201832
CCCOc1ccccc1CCCN ZINC000020130236
CCOC(=O)/C(C)=C/[C@H](NC)C(C)C ZINC000113091675
NC[C@H]1CCCN1Cc1ccccc1 ZINC000022910095
Cn1ccnc1CC[C@@H]1CCCCN1 ZINC000019088963
NCc1ccc(S(=O)(=O)NCCO)cc1 ZINC000072206364
O=C(NCc1cccnc1)[C@@H]1CCCCN1 ZINC000020559177
CNC(=O)C(C)(C)[C@H]1CCCCN1 ZINC000217523430
CCCCCNC(=O)c1ccc(N)cc1 ZINC000019400667
N[C@H]1CCN(c2cc(F)cc(F)c2)C1 ZINC000037241996
CCOc1ccc(-c2cc(N)c(=O)[nH]n2)cc1 ZINC000026420275
O=[N+]([O-])c1ccc(CNCc2ccccc2)cc1 ZINC000034953387
CN1CCC[C@H]2CNCC[C@H]21 ZINC000083268609
Cc1cccc2[nH]c([C@@H]3CCCNC3)nc12 ZINC000019091383
CCN(C[C@@H]1CCCCN1)C(C)=O ZINC000079438090
CC(=O)Nc1ccc(C(=O)NCCN)cc1 ZINC000026420296
CNC[C@@H]1CN(C)CCO1 ZINC000071483138
Cc1cccc(-c2noc(CNC(C)(C)C)n2)c1 ZINC000006697556
Nc1ccc2[nH]ccc2n1 ZINC000018617164
CN1c2ccccc2[C@H]2CNCC[C@H]21 ZINC000149719161
c1ccc2c(CNC[C@H]3CCCO3)cccc2c1 ZINC000000576458
Nc1ccc2nonc2c1[N+](=O)[O-] ZINC000004016552
CCCCCCCCNC(=O)CNC1CC1 ZINC000100889719
Cc1ccc(C(C)(C)C[C@H](C)N)cc1C ZINC000011631338
C[C@@]12CC3CC(CN)(C1)C[C@@](C)(C3)C2 ZINC000100017206
Fc1cc(F)cc(OCC[C@@H]2CCCNC2)c1 ZINC000054933120
N#CCNCc1ccc(-c2ccc(F)cc2)o1 ZINC000022076499
CNCCCN(C)CCN(C)C ZINC000082540970
NC[C@@H]1CN(c2ccc(F)cc2)C(=O)O1 ZINC000011920031
Nc1oc2ccccc2c(=O)c1C=O ZINC000000154514
CN(CCCCCCN)CCc1ccccc1 ZINC000088204527
CC[C@H](CO)NCCN[C@H](CC)CO ZINC000019364221
CC(C)[C@@H]1CCCCN1CC[C@@H]1CCCCN1 ZINC000095097528
COc1cc(N)cc(C(F)(F)F)c1C#N ZINC000585672837
O=C1c2ccccc2C(=O)N1[C@@H]1CCCNC1 ZINC000019513198
Cc1ccsc1CN[C@H]1CCS(=O)(=O)C1 ZINC000019772603
O=C(OCC[C@@H]1CCCNC1)c1ccco1 ZINC000042768448
CCOC(=O)c1cccc(CN)c1 ZINC000019722430
Nc1ncc2ccccc2c1-c1ccccc1 ZINC000098175203
NC[C@H]1COC[C@@H]1O ZINC000076570824
Cc1ccc(-c2ccc(N)c(F)c2)cc1C ZINC000014628993
Cc1ccc(N)c(C)c1-n1cnnc1 ZINC000054405061
Cc1cccc([C@@H](CN)N(C)C)c1 ZINC000019795987
c1c[nH]c([C@@H]2CCCN2)n1 ZINC000032914832
CCOc1ccccc1CNC[C@@H](C)O ZINC000000576445
CC(=O)N1CCCC[C@@H]1c1cnc(N)c(C)c1 ZINC000072218475
C#CCCNC(C)(C)C ZINC000034143740
C[C@H](N)[C@H]1CCC[C@@H](F)C1 ZINC000238804490
NCCC[C@H]1CC[C@@H]1O ZINC000076572358
CNCC(=O)Nc1nnc(CC(C)C)s1 ZINC000082256345
O=C([C@@H]1C[C@]12CCNC2)N1CCOCC1 ZINC000096228644
CCS(=O)(=O)[C@H]1C[C@]1(N)CO ZINC000217970403
Cc1ccc(N)cc1NC(=O)C(C)(C)C ZINC000008703451
NCc1nnc(C2CC2)s1 ZINC000058517709
Cn1cc([C@@H](N)c2ncon2)cn1 ZINC000036761925
C=CCNCCCc1ccccc1 ZINC000020033626
O[C@@H](c1cccc2ncccc12)[C@@H]1CCCCN1 ZINC000001873724
Nc1cnc(OC(F)(F)F)nc1 ZINC000225769201
c1ccc(Cn2cc3c(n2)C[C@H]2CC[C@H]3N2)cc1 ZINC000110751133
CCO[C@H]1CCC[C@H]1NC ZINC000044046078
COC(=O)[C@@H](Cc1ccccc1)N[C@@H](C)C(C)C ZINC000002027722
Nc1cccc2ccsc12 ZINC000034361594
Nc1nc2[nH]c(N3CCOCC3)nc2c(=O)[nH]1 ZINC000004555627
CCCNC(=O)c1ccccc1N ZINC000001926700
CC(=O)N1c2cc(N)ccc2C[C@@H]1C ZINC000168678972
NNC(=O)[C@H](N)CO ZINC000022000303
NCc1nc2cc(C(F)(F)F)ccc2o1 ZINC000062526228
Nc1ccc(-c2ccc(N)cc2F)c(F)c1 ZINC000062721763
CN(C)[C@@H]1CC[C@@H]2CNC[C@@H]21 ZINC000204284848
COc1ccc([C@@H](N)c2ncn(C)n2)cc1 ZINC000095533778
Cc1cc(CN)c(F)cc1F ZINC000039088715
C=CCN(CC=C)C[C@@H](N)Cc1ccccc1 ZINC000020071220
CN(C)c1ccc(C(=S)N2CCNCC2)cc1 ZINC000000302349
N#C[C@H]1CCc2nc(N)nc(N)c2C1 ZINC000004430403
CC(C)C[C@@](C)(N)C#N ZINC000019256612
Cc1nc(O)c(N)c(=O)[nH]1 ZINC000002506702
NC[C@](O)(c1ccccc1)C1CC1 ZINC000049805388
CNC(=O)c1cn([C@H]2CCNC2)nn1 ZINC000072208475
CON(C)C(=O)c1ccc(N)cc1 ZINC000036825461
CS(=O)(=O)[C@@H]1CC1(CN)CN ZINC000217957848
CCCNCc1nnc(-c2ccccc2)o1 ZINC000002534280
C[C@@H](N)[C@H](C)c1ccccc1C(F)(F)F ZINC000063029101
COc1ccc(-c2cccc(N)c2)cc1F ZINC000038069501
COC(=O)c1c(OC)ccc(OC)c1N ZINC000013350959
CC(C)OCCCNCC1CCCCC1 ZINC000013718569
c1nc2c([nH]1)C1(CCNCC1)NCC2 ZINC000008733331
COC(=O)[C@H]1C[C@@H](N)CCN1 ZINC000039941337
C[C@H](Oc1ccc(N)c2ccccc12)C(N)=O ZINC000075772161
CCS(=O)(=O)[C@@H]1CC[C@](N)(COC)C1 ZINC000217952074
Cn1ncc2c(N)c3c(nc21)CC(C)(C)CC3=O ZINC000616591551
CCOCCCN[C@H]1CCCC[C@@H]1C ZINC000019962817
COC(=O)[C@@]12CCC[C@@](CN)(CC1)C2 ZINC000575624002
Nc1ccccc1CCc1cccnc1 ZINC000019735546
Cc1ccc(C(=O)c2cccc(N)c2)cc1C ZINC000000050546
