CC(=O)[C@@H]1CC(C(=O)O)=NN1c1ccccc1 ZINC000047844107
CC(C)n1nc(C(=O)O)c2ccccc2c1=O ZINC000003324552
O=C(O)c1ccc(C(F)(F)C(=O)O)cc1 ZINC000107269797
O=C(Nc1ccccc1C(=O)O)NC1CC1 ZINC000032500448
O=C(O)c1cccc2[nH]c(=O)[nH]c(=O)c12 ZINC000052507776
CC(C)CC1(C(=O)O)COC1 ZINC000076593055
CC(=O)OC[C@@H](C(=O)O)c1ccccc1 ZINC000014504710
CCC[C@@H](C)OCC(=O)O ZINC000001693442
CCOc1ccc(SC)cc1C(=O)O ZINC000096529740
CC(=O)OC1(C(=O)O)CCCCC1 ZINC000001867187
O=C(O)CC[C@H]1NC(=O)[C@H]2CCCN2C1=O ZINC000082292984
O=C(O)/C=C/C(=O)NC(=O)Nc1ccccc1 ZINC000016489465
O=C(O)c1cn2ncccc2n1 ZINC000016124657
C[C@@H](C[S@](C)=O)C(=O)O ZINC000040960400
CC/C=C/C[C@@H]1C(=O)CC[C@@H]1CC(=O)O ZINC000008624945
CS(=O)(=O)c1ccc(C(=O)O)cn1 ZINC000042684398
CC(=O)N[C@@H](CC(=O)O)c1cccs1 ZINC000005378233
O=C1CC[C@H](C(=O)N2CSC[C@H]2C(=O)O)N1 ZINC000005133422
Cc1cn2c(n1)CCC[C@H]2C(=O)O ZINC000082396666
Cc1cc(C(=O)O)n(-c2ccccc2)n1 ZINC000000732355
Cc1nn([C@@H]2CCOC2)cc1C(=O)O ZINC000070706491
Cc1ocnc1-c1cccc(C(=O)O)n1 ZINC000074206692
CCc1ccc(-c2cncc(C(=O)O)c2)cc1 ZINC000036348772
Cc1ccc(C)c([C@@H](S)C(=O)O)c1 ZINC000004362798
N#C[C@]1(C(=O)O)CC12CCCC2 ZINC000072406694
O=C(O)CC1(Sc2ccccc2)CCC1 ZINC000095348026
O=C(O)[C@H]1C[C@H]2C[C@H](O)CC[C@@H]2C1 ZINC000225628875
O=C(O)c1cccc(-n2cnnc2)c1C(=O)O ZINC000034929195
C[C@@H]1C[C@H](C(=O)O)[C@@H]1C ZINC000144094895
O=C(O)[C@@H]1CN(Cc2ccccc2)C[C@@H]1C1CC1 ZINC000026898130
O=C(O)CCCc1ccc(F)cc1F ZINC000020217144
Cc1ccccc1-c1ccc(C(=O)O)cc1F ZINC000043578255
C[C@H](NC(=O)c1cc2ccccc2[nH]1)C(=O)O ZINC000009420925
O=C(O)[C@H]1CCCN1C(=O)c1ccccn1 ZINC000001647270
O=C(O)/C=C\c1cc(O)ccc1O ZINC000091363887
CCCCCC[C@@H](CCC)C(=O)O ZINC000002509961
C=CC[C@@H]1CCCC/C1=C\C(=O)O ZINC000031688722
O=C(O)c1ccc2ccc(O)cc2c1 ZINC000034307600
CC1(C)[C@@H](CC(=O)O)C[C@@H]1CC(=O)O ZINC000001700902
CN1CC[C@@H](C(=O)O)C[C@@H]1C(=O)O ZINC000088285145
O=C(O)CCCn1c(=O)[nH]c2ccccc21 ZINC000016698697
O=C(O)c1cnn(-c2ccccc2)c1C1CC1 ZINC000012879700
O=C(O)[C@@H](CCc1ccccn1)c1ccccc1 ZINC000001675486
O=C(O)CCN1CCCS1(=O)=O ZINC000019421897
Cn1ccnc1/C=C/C(=O)O ZINC000036895631
CS[C@H](C)C(=O)NCC(=O)O ZINC000006032481
O=C(O)CCCCOc1cccc2c1CCCC2 ZINC000013609417
C[C@H](O)[C@H](NC(=O)[C@@H]1C[C@H]1C)C(=O)O ZINC000238855939
COCCn1c(C(=O)O)cc2sc(C)cc21 ZINC000037263336
C[C@@H](O)[C@H](NC(=O)c1ccccc1)C(=O)O ZINC000000156034
O=C(O)CCN1C(=O)c2nccnc2C1=O ZINC000072220569
C[C@H]1CC(OCC(=O)O)C[C@H](C)C1 ZINC000084836767
C[N+](C)(C)CCOC(=O)[C@@H](O)[C@H](O)C(=O)O ZINC000071791209
O=C(O)Cc1n[nH]c(-c2ccncc2)n1 ZINC000005553842
CC(=O)N1CCC[C@](C)(C(=O)O)C1 ZINC000062868249
CC(=O)c1cc(C(=O)O)c2ccccn12 ZINC000082381321
O=C(O)c1ccccc1COc1ccccc1 ZINC000000395117
CCCCCC[C@@H](CC)CC(=O)O ZINC000104377969
COC(=O)c1cc(/C=C/C(=O)O)cn1C ZINC000000165867
O=C(O)c1cn[nH]c1[C@@H]1CCCO1 ZINC000238688716
NC(=O)CSc1ccsc1C(=O)O ZINC000000167325
N#Cc1cccn2cc(CC(=O)O)nc12 ZINC000090568168
CCCCCCCC[C@@H](O)CCC(=O)O ZINC000059724687
O=C1c2ccccc2O[C@@]2(C(=O)O)C[C@@H]12 ZINC000085392612
Cc1cccc2c(OCC(=O)O)noc12 ZINC000096529660
O=C[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O ZINC000100054060
Cc1ccsc1[C@]1(C(=O)O)CC1(C)C ZINC000019089370
O=C(O)CN1C(=O)Cc2ccccc21 ZINC000019276624
O=C(O)CCn1nnc(-c2ccc(F)cc2)n1 ZINC000006557430
COc1cc(CC(=O)O)c(OC)c2c1OCO2 ZINC000015106260
Cc1nc(C2CC2)[nH]c(=O)c1C(=O)O ZINC000012732091
O=C(O)c1nnc(-c2ccccn2)o1 ZINC000032008339
O=C(O)CN1CCC[C@@H](N2CCCCC2)C1 ZINC000218802509
Cc1ccc(NC(=O)CC(=O)O)cc1C ZINC000009304541
NC(=O)N/C=C(\F)C(=O)O ZINC000065742674
COc1cc(C)c(C(=O)CCC(=O)O)cc1C ZINC000004943448
O=C(O)C1CC2(C1)CC(C(=O)O)C2 ZINC000000341465
COc1cc(C2=NO[C@@H](C(=O)O)C2)ccc1F ZINC000071980973
C[C@@H](NC(=O)N[C@H](C)c1ccccc1)C(=O)O ZINC000006932266
CC1(C)[C@H](C(=O)O)[C@H]1C(=O)N1C[C@H]2C=C[C@H]1C2 ZINC000100979347
CCO[C@@H](C)c1noc(CCC(=O)O)n1 ZINC000070827056
CCS(=O)(=O)c1cnn(C)c1OCC(=O)O ZINC000096509688
CC(C)N1C(=O)C[C@H](C(=O)O)[C@H]1c1cccnc1 ZINC000040162933
O=C(O)[C@H](O)CC([N+](=O)[O-])[N+](=O)[O-] ZINC000104046642
COC(=O)c1c(C(=O)O)coc1C(F)(F)F ZINC000085385855
CCCC(=O)NCCc1cccc(C(=O)O)c1 ZINC000104410347
O=C(O)c1ccc(CN2CC[C@@H](O)C2)cc1 ZINC000061710732
C[C@@H](CCC(=O)O)C(=O)O ZINC000000388193
CCOc1cc(C(=O)O)n(-c2ccccc2)n1 ZINC000216587532
CC1(COc2ccc(C(=O)O)cc2)COC1 ZINC000085652936
O=C(O)Cn1nc2ccccn2c1=O ZINC000012505539
Cc1ccc(-c2n[nH]c(CC(=O)O)n2)cc1 ZINC000026440601
Cc1cc(C(=O)O)n(-c2cccnc2)n1 ZINC000117019176
COC(=O)N1C[C@H]2CC[C@H]1[C@@H](C(=O)O)C2 ZINC000238412419
C[S@](=O)CCC(=O)O ZINC000037921892
O=C(O)c1cccc(Oc2cccnc2)n1 ZINC000051041627
O=C(O)/C=C/c1cnc(C2CC2)s1 ZINC000082416715
CC1(C)Cc2c(cccc2C(=O)O)O1 ZINC000004100633
Cc1nc(OC2CCCCC2)cc(C(=O)O)n1 ZINC000096524175
Cc1[nH]cnc1C(=O)O ZINC000002004010
CC1(C)[C@H]2CC[C@@]1(C(=O)O)C(=O)CC2=O ZINC000217628970
O=C(O)Cc1ccc(OCc2ccccn2)cc1 ZINC000019843618
O=C(O)COC12CC3CC(CC(C3)C1)C2 ZINC000000392351
C[C@@H](Cc1ccc(O)c(O)c1)C(=O)O ZINC000002586020
O=C(O)CNC(=O)/C=C/c1ccc(F)cc1 ZINC000003061113
CC[C@@H](CCC(=O)O)C1CCCCC1 ZINC000001648323
COc1ccc(C(=O)/C=C/C(=O)O)cc1OC ZINC000003643364
Cn1cncc1-c1cccc(C(=O)O)c1 ZINC000090686614
Cc1nc(C(=O)O)nn1-c1nnc[nH]1 ZINC000008754405
O=C(O)c1ccnc(-c2cc(C(=O)O)ccn2)c1 ZINC000000056644
CN1C(=O)CC[C@H](C(=O)O)[C@H]1c1cccs1 ZINC000057340867
O=C(O)C1(c2cc(F)cc(F)c2)CCC1 ZINC000049351238
Cc1cc2c(cc1C)/C(=C/C(=O)O)CO2 ZINC000094993340
O=C(O)[C@@H](O)CCO ZINC000002559503
O=C(O)C1C[C@H]2COC[C@@H](C1)C2O ZINC000085398530
O=C(O)C[C@H](C(=O)O)[C@H](O)C(=O)O ZINC000000895175
