O=C(Cl)c1ccc(Br)nc1 ZINC000066327912
Brc1ccccc1-n1cnnn1 ZINC000000083767
Cc1ccc(Br)c(C#N)c1F ZINC000075847048
COc1ccc(F)c(Br)c1F ZINC000075915368
Cn1c(=O)[nH]c2c(Br)cccc21 ZINC000095631116
Cc1ccc(Br)cc1S ZINC000036533084
O=c1[nH]c(=O)c2cc(Br)cnc2[nH]1 ZINC000072188056
COC(=O)[C@@H](C)n1cc(Br)c(C)n1 ZINC000242750337
O=C(Cl)c1ccoc1Br ZINC000012370771
Oc1cc(Br)cc(-c2ccccc2)c1 ZINC000034623242
N#C/C(=C\O)c1ccc(Br)cc1 ZINC000100367268
OCCc1cccc(Br)c1F ZINC000075856841
CC(C)(C)Oc1nccc(Br)n1 ZINC000044117979
Brc1cncc(-c2nn[nH]n2)c1 ZINC000002523077
N#Cc1cccc(I)c1F ZINC000095080195
CCn1nnc2c(Br)cncc21 ZINC000225742243
CC(C)n1cc(Br)cnc1=O ZINC000098213605
Cc1ccc(-c2cccc(Br)c2)cc1 ZINC000063339338
COc1cccc(I)c1 ZINC000000407076
Clc1c[nH]c2cc(Br)cnc12 ZINC000044712915
Cn1cnc(C(F)(F)F)c1Br ZINC000248052368
Brc1cn(C2CC2)nn1 ZINC000238036395
CSc1nc(Br)cs1 ZINC000015021574
COc1c(Br)ccc(F)c1O ZINC000042750076
CCCOc1ccc(C)cc1Br ZINC000020077733
Brc1ccc2c(c1)CCCC2 ZINC000049697803
COC(=O)/C=C/c1cc(Br)cs1 ZINC000034750871
Brc1cccc(SCC2CC2)c1 ZINC000015444661
Ic1cn(CC2CC2)cn1 ZINC000118763324
CC1(c2ccc(Br)cn2)OCCO1 ZINC000051951677
N#CCc1cc(Cl)cc(Br)c1 ZINC000071244898
Brc1ncccc1O[C@H]1CCOC1 ZINC000083454464
Cc1cc2ccccc2c(Br)c1C ZINC000001576847
C=CCNC(=O)c1ccc(Br)o1 ZINC000005382774
FC(F)c1ccc(Br)s1 ZINC000072236464
N#CC1(c2ccccc2Br)CCC1 ZINC000055336230
NC(=O)c1ccc(Cl)c(Br)c1 ZINC000065336997
O=[N+]([O-])c1nc(Br)n[nH]1 ZINC000015446333
CCCO[C@@H](C)c1ccc(Br)cc1 ZINC000072209991
Cc1noc(-c2cncc(Br)c2)n1 ZINC000061957943
FC1(c2ccc(Br)cc2)COC1 ZINC000202066115
COC(=O)c1cc(Br)c[nH]c1=O ZINC000012471478
Cc1cc(C)n2nc(C)c(Br)c2n1 ZINC000003197892
O=[N+]([O-])c1cc(Cl)nc(Br)c1 ZINC000083428679
CCOC(=O)c1c(Br)noc1C ZINC000095098294
O=C1NC[C@@H](c2ccc(Br)cc2)O1 ZINC000041286222
CCOC(=O)Cn1cc(Br)cn1 ZINC000002536983
Brc1ccc(-c2cn[nH]c2)nc1 ZINC000085391006
CSc1ccc(Br)s1 ZINC000084225482
Fc1c(Br)cnc2[nH]ccc12 ZINC000044712730
Cc1cnn(-c2ccc(Br)cn2)c1 ZINC000042388743
O=C1CC[C@@H](c2ccccc2Br)N1 ZINC000237961316
C[C@]1(c2cccc(Br)c2)O[C@@H]1C#N ZINC000307338008
CCN1CCc2ncc(Br)cc2C1 ZINC000096515764
COC(=O)c1ccc(Br)n1C ZINC000091301501
Clc1c(Br)ccc2[nH]ccc12 ZINC000115152227
Brc1ncnn2cccc12 ZINC000044136793
Cn1ncc(C(F)(F)F)c1Br ZINC000221817582
CCCOC(=O)c1cncc(Br)c1 ZINC000035101604
Cc1cc(Cl)c(CC#N)cc1Br ZINC000575676577
NC(=O)Nc1cccc(Br)c1 ZINC000002033099
Cc1cc(Cl)c(Br)c(Cl)c1 ZINC000064219774
Cc1cc(C)c(F)c(Br)c1 ZINC000055161575
COc1cc(O)c(C=O)c(Cl)c1 ZINC000096024900
OCc1cccc(Br)c1O ZINC000016124444
O=Cc1ccccc1OCc1cccc(Cl)c1 ZINC000000117151
Cc1cccc([N+](=O)[O-])c1Br ZINC000001646568
Cn1c(=O)n(C)c2cc(Br)ccc21 ZINC000036155475
Cn1nnc(Br)n1 ZINC000164923700
CCc1ncncc1Br ZINC000015021320
O=Cc1ccc2cccc(Cl)c2c1 ZINC000071256906
O=Cc1cc(Cl)cnc1OCC1CC1 ZINC000242592408
O=Cc1ccc(-c2cc(Cl)cc(Cl)c2)o1 ZINC000000459501
Cn1nc(Br)c2c(Cl)ncnc21 ZINC000047844207
NC(=O)/C=C\c1cccc(Br)c1 ZINC000036426962
Cn1ncc2ccc(Br)nc21 ZINC000238548062
COc1cc(F)c(Br)c(OC)c1 ZINC000000056920
OCc1cc(Br)c2c(c1)OCO2 ZINC000024045542
C[C@@H](CO)C(=O)c1ccc(Br)cc1 ZINC000137238639
Fc1cncc(Br)c1Cl ZINC000095763735
O=c1sc2ccccc2cc1Br ZINC000004293969
COc1cc2nccn2cc1Br ZINC000238407343
Clc1n[nH]c2ccc(Br)cc12 ZINC000014983565
Oc1cccc(O)c1Br ZINC000032223409
CCOc1ccc(I)cc1 ZINC000000403995
CC(C)Oc1ccc(Br)cc1 ZINC000000397475
C[C@H](F)c1ccccc1Br ZINC000063360990
O[C@@H]1CCCOc2ccc(Br)cc21 ZINC000062620986
Cc1nc(Cl)c(C=O)c(Cl)n1 ZINC000025492583
CSc1ncc(C=O)c(Cl)n1 ZINC000082046857
CN(C)c1cnc(Br)cn1 ZINC000038540608
CN(C)c1nc2c(Cl)cccc2cc1C=O ZINC000685936814
Brc1ccnc(OCC2CCC2)c1 ZINC000255190024
