O=C(O)c1ncc(Cl)cn1 ZINC000004228200
CNc1ccc(Cl)cc1C(=O)O ZINC000008731268
Cc1[nH]cc(C(=O)O)c(=O)c1Br ZINC000026506728
Nc1cc(C(=O)O)ccc1Cl ZINC000003861685
N#Cc1ccc(Br)c(C(=O)O)c1 ZINC000067802548
N[C@H](Cc1ccc(Cl)c([N+](=O)[O-])c1)C(=O)O ZINC000044283631
O=C(O)c1cc2sc(Br)cc2[nH]1 ZINC000115643716
Cc1oc(C(=O)O)c(C)c1Br ZINC000026506892
O=C(O)c1cnn(-c2cccc(Cl)c2)n1 ZINC000020246492
Cc1cc(Cl)c(C(=O)O)cc1O ZINC000045328587
CN[C@H](C(=O)O)c1cccc(Br)c1 ZINC000037181055
Nc1ncc(C(=O)O)c(-c2ccc(Cl)cc2)n1 ZINC000097757481
N[C@H](Cc1ccc(Cl)c(Cl)c1)C(=O)O ZINC000001653227
O=C(O)CCn1cc(Cl)cn1 ZINC000002549514
O=C(O)C1(c2cc(Cl)cc(Cl)c2)CCC1 ZINC000095763501
O=C(O)CNCc1cccc(Cl)c1 ZINC000001743881
O=C(O)CCNc1ccc(F)c(Cl)c1 ZINC000020133740
Cc1c(Cl)ccc2c(=O)cc(C(=O)O)[nH]c12 ZINC000062618420
COCCOc1c(Cl)csc1C(=O)O ZINC000096510955
N[C@]1(C(=O)O)CCc2cc(Cl)ccc2C1 ZINC000095635304
O=C(O)c1ccc(Cl)s1 ZINC000000125451
CC(C)(C(=O)O)c1ccc(Br)cc1 ZINC000002583922
CC(C)[C@@H](C(=O)O)c1cccc(Cl)c1 ZINC000032012741
O=C(O)c1cc(F)c(O)c(Cl)c1 ZINC000095829720
N[C@@H](C(=O)O)c1ccc(O)c(Cl)c1 ZINC000008377559
N#Cc1cc(Br)c(C(=O)O)cc1O ZINC000263624567
O=C(O)CSc1ncc(Br)cn1 ZINC000011804011
CCCC(=O)Nc1c(Cl)cccc1C(=O)O ZINC000016624187
O=C(O)c1ncsc1-c1ccccc1Cl ZINC000083239532
O=C(O)c1c[nH]c2ccc(Br)nc12 ZINC000044185552
O=C(O)c1nc2ccccc2cc1Cl ZINC000167198819
O=C(O)[C@H]1CS[C@H](c2ccc(Cl)cc2)N1 ZINC000000114169
O=C(O)c1c(F)ccc(F)c1Cl ZINC000002382092
O=C(O)C1(c2cc(Cl)ccc2F)CCC1 ZINC000075934008
O=C(O)C(=O)c1ccc(Br)cc1O ZINC000047843821
O=C(O)c1cnc2[nH]c(Br)cc2c1 ZINC000032914870
C[C@@H](Nc1ccccc1Cl)C(=O)O ZINC000008730586
O=C(O)Cc1ncnc2cc(Cl)ccc12 ZINC000258011938
O=C(O)CC(=O)Nc1cc(Cl)ccc1Cl ZINC000009304551
O=C(O)COc1cccc(Cl)c1Cl ZINC000000057142
Cc1cnc(-c2ccc(Cl)cc2)nc1C(=O)O ZINC000304189531
O=C(O)C1=C[C@H]2OC(Br)=C[C@H]2N1 ZINC000228937811
O=Cc1oc(Br)cc1C(=O)O ZINC000238627999
O=C(O)c1cnoc1-c1ccc(F)cc1Cl ZINC000127218525
O=C(O)CCc1nc(Cl)n2ccccc12 ZINC000225745818
O=C(O)c1cnc(Br)c(F)c1 ZINC000071773551
CCn1c(CC(=O)O)nc2cc(Cl)ccc21 ZINC000040928810
O=C(O)/C=C\Br ZINC000013379806
O=C(O)CCc1csc(Br)c1 ZINC000083334921
O=C1C[C@@H](C(=O)O)[C@H](c2cccc(Cl)c2)O1 ZINC000085394747
N[C@@]1(C(=O)O)C[C@@H]1c1cccc(Cl)c1Cl ZINC000062713044
N#Cc1cc(Br)c(O)c(C(=O)O)c1 ZINC000263623287
COc1ccc(NCC(=O)O)cc1Cl ZINC000008730572
O=C(O)c1cc(Cl)ccc1S ZINC000034581910
O=C(O)Cc1cc(F)ccc1Br ZINC000002243306
O=C(O)c1cnc(-c2cccc(Cl)c2)s1 ZINC000034975452
O=C(O)c1ccc(Cl)c(Cl)c1F ZINC000067802844
Cc1cnc2c(C(=O)O)c(Cl)ccc2c1 ZINC000002516979
O=C(O)CCNc1ccc(Cl)cc1[N+](=O)[O-] ZINC000004582624
COc1c(Cl)cc(C(=O)O)cc1C#N ZINC000026508510
O=C(O)Cc1ccc(Cl)c(O)c1 ZINC000033605058
O=C(O)c1cccc(CCl)c1Cl ZINC000125127094
CCOc1cccc(Cl)c1C(=O)O ZINC000020080384
O=C(O)c1cc(F)ccc1Br ZINC000002512344
O=C(O)C[C@H](CO)c1ccc(Cl)cc1 ZINC000022054849
O=C(O)[C@@H]1C[C@H](Oc2cccc(Cl)c2)CN1 ZINC000034279416
N[C@]1(C(=O)O)C[C@H]1c1ccc(Cl)c(Cl)c1 ZINC000062712929
Cc1c(F)cc(C(=O)O)cc1Br ZINC000089064173
CCCn1ncc(Br)c1C(=O)O ZINC000002537969
COc1cc(OC)c(C(=O)O)cc1Cl ZINC000001759945
O=C(O)CNCc1ccc(Cl)nn1 ZINC000079435997
O=C(O)CSc1ccc(F)cc1Cl ZINC000000131938
O=C(O)c1ccc(Cl)c2ncccc12 ZINC000001723913
O=C(O)c1cccn1-c1ccccc1Cl ZINC000012404844
C[C@H](CC(=O)O)n1ccc(Br)n1 ZINC000408716100
C[C@@]1(C(=O)O)Cc2ccc(Cl)cc2O1 ZINC000260311322
O=C(O)c1nsc(Cl)c1Cl ZINC000004254536
CS(=O)(=O)c1cc(C(=O)O)c(Cl)cn1 ZINC000238857285
C[C@H](NC(=O)Nc1cccc(Cl)c1)C(=O)O ZINC000005429252
COc1ccc([C@](C)(O)C(=O)O)cc1Cl ZINC000000395735
O=CN(CC(=O)O)c1ccccc1Cl ZINC000006227100
O=C(O)c1cc(Cl)c2cc(F)ccc2n1 ZINC000071025648
Cc1c(Cl)cc(C(=O)O)cc1[N+](=O)[O-] ZINC000026508312
O=C(O)c1cc(Cl)ccc1-n1cccc1 ZINC000009237105
O=C(O)c1cc(Cl)c(F)c([N+](=O)[O-])c1 ZINC000093097596
N#C/C(=C/c1ccc(Cl)cc1)C(=O)O ZINC000001640940
O=C(O)c1cccc2cc(Cl)cnc12 ZINC000006094461
CN1C(=O)C[C@H](C(=O)O)c2cccc(Cl)c21 ZINC000062712378
O=C(O)c1nnn(C[C@@H]2CCCO2)c1Cl ZINC000225766953
Cc1ncnc(Cl)c1C(=O)O ZINC000084443635
Cc1cc(C(=O)O)cc(Cl)c1Br ZINC000085652786
Cc1cc(Cl)ccc1OCC(=O)O ZINC000000404797
O=C(O)/C=C(\Cl)c1ccccc1 ZINC000001646251
C[C@@]1(c2ccccc2Cl)C[C@@H]1C(=O)O ZINC000052126840
CC[C@@H](Nc1ccc(F)c(Cl)c1)C(=O)O ZINC000015418117
N[C@H](Cc1o[nH]c(=O)c1Cl)C(=O)O ZINC000006854861
O=C(O)c1csc2c(Cl)ncnc12 ZINC000095629927
CCC[C@H](Nc1ccc(F)c(Cl)c1)C(=O)O ZINC000008730675
O=C(O)/C=C/C(=O)c1cc(Cl)ccc1Cl ZINC000036179835
O=C(O)c1[nH]c2ccccc2c1Br ZINC000003201434
N[C@@H](CCCc1ccc(Cl)cc1)C(=O)O ZINC000084018149
Cc1ccc2c(C(=O)O)ccnc2c1Cl ZINC000300855972
O=C(O)c1ccc(Cl)cc1S ZINC000062787842
O=C(O)c1cc2c(Cl)c(F)ccc2[nH]1 ZINC000140329299
O=C(O)CCCC(=O)c1ccc(Cl)c(F)c1 ZINC000004242547
CN[C@H](C(=O)O)c1cccc(Cl)c1 ZINC000037181019
Cc1ccc(-c2cc(C(=O)O)oc2Cl)cc1 ZINC000095094169
O=C(O)c1c[nH]c2c(Br)cccc12 ZINC000012650051
C/C(=C/C(=O)O)C(=O)Nc1ccc(Cl)cc1 ZINC000008766917
O=C(O)c1cnc2c(Br)c[nH]c2c1 ZINC000044712941
N[C@@H](c1ccc(Cl)cc1)C(F)(F)C(=O)O ZINC000044139085
Cn1cnc2cc(C(=O)O)c(Cl)cc21 ZINC000107389367
