CSc1nn2c(C)cc(C)nc2c1C(=O)O ZINC000012398329
C[C@H]1CN(CCC(=O)O)C[C@H](C)O1 ZINC000004502685
COc1ccccc1C[C@@H](CC(=O)O)C(=O)O ZINC000000184494
Cc1ccc(F)c(F)c1C(=O)O ZINC000238490123
Cc1cc(=O)[nH]c(C(C)(C)C(=O)O)n1 ZINC000078404159
C[C@H](C(=O)O)N(C(=O)OC(C)(C)C)C1CC1 ZINC000069552147
O=C(O)[C@H]1OCCO[C@@H]1c1cccc(F)c1 ZINC000217698956
CCc1ccc([C@H](OC)C(=O)O)cc1 ZINC000147849526
O=C(O)CC(CC(=O)O)c1ccccc1F ZINC000057517252
C[Si](C)(C)c1ccc(F)c(C(=O)O)c1F ZINC000196206336
CCN(CC)c1cc(C(=O)O)cc(C)n1 ZINC000002524989
CC(=O)CC[C@@H](NC(C)=O)C(=O)O ZINC000001868377
N#CCSc1cccc(C(=O)O)c1 ZINC000069977465
Cc1cccc2c(=O)n(CCCC(=O)O)cnc12 ZINC000008037149
