Cc1c(Cl)cc(Cl)cc1[C@H](O)C(=O)O ZINC000263624836
O=C(O)[C@@H]1CCN(c2cc(Cl)ncn2)C1 ZINC000096515928
Nc1cnc(Cl)nc1C(=O)O ZINC000144544129
C=C(Cl)CCc1cccc(C(=O)O)c1 ZINC000002579561
O=C(O)[C@@H]1CCOc2ccc(Cl)cc21 ZINC000026479654
CC(=O)Nc1cccc(C(=O)O)c1Cl ZINC000000133144
O=C(O)C1(c2cccc(Cl)c2)CCCCC1 ZINC000012505751
CNS(=O)(=O)c1cc(C(=O)O)ccc1Cl ZINC000000386176
O=C(O)c1cc(Cl)ncc1[N+](=O)[O-] ZINC000072190670
O=C(O)c1cnc(Cl)cn1 ZINC000006524495
O=C(O)C1CCN(c2nccnc2Cl)CC1 ZINC000073737291
N[C@@H](C(=O)O)c1cc(Cl)ccc1Cl ZINC000003676799
O=C(O)c1ccc(OC2COC2)c(Cl)c1 ZINC000076675992
Cc1ccc([C@@H](N)C(=O)O)c(Br)c1 ZINC000116936199
O=C(O)c1c(F)ncc(F)c1Cl ZINC000021991287
O=C(O)[C@@H]1CNc2ccc(Cl)cc2C1 ZINC000082373029
O=C(O)c1cc(Cl)cc(O)c1Cl ZINC000141075561
CCOc1ccc(C(=O)O)c(F)c1Cl ZINC000261507605
Cc1ccc(Cl)c(O[C@@H](C)C(=O)O)c1 ZINC000006272337
CC[C@@H](Oc1cc(C)ccc1Cl)C(=O)O ZINC000002526136
Cc1cc(Cl)cc(Cl)c1O[C@@H](C)C(=O)O ZINC000006070007
O=C(O)c1ccccc1-c1ccc(Cl)cn1 ZINC000016698774
O=C(O)COc1ccc(Cl)cn1 ZINC000000966675
O=C(O)C(F)(F)c1cccc(Cl)c1 ZINC000020213101
Cc1cc(Cl)c([C@@H](O)C(=O)O)c(Cl)c1 ZINC000263623366
O=C(O)c1c(Cl)cc(O)cc1Cl ZINC000095829831
Cc1ccc2cc(CC(=O)O)c(Cl)nc2c1 ZINC000089261651
O=C(O)[C@H](O)c1cc(Br)cs1 ZINC000041678739
Cn1cc(C(=O)O)c2ccc(Cl)nc21 ZINC000953057001
NC(=O)N[C@@H](CC(=O)O)c1ccccc1Cl ZINC000002650690
C/C(=C\c1ccc(Br)o1)C(=O)O ZINC000044221916
N#Cc1c(F)cc(Br)cc1C(=O)O ZINC000263625434
O=C(O)c1cccc(OC(F)(F)F)c1Cl ZINC000141392731
O=C(O)c1cccc(I)n1 ZINC000004352696
C/C(=C/c1ccc(Br)o1)C(=O)O ZINC000096320258
