C=C(CBr)C(=O)OC ZINC000002539421
O=c1sc2ccccc2n1CCCl ZINC000000375158
ClCc1ncc2ccccn12 ZINC000225780251
CCN(C)c1ncc(CCl)cc1C ZINC000072222189
O=S(=O)(Cl)NCCCCl ZINC000100372039
CC(C)COC[C@@H](O)CCl ZINC000001556613
CCC[C@@H](CCCCl)OC ZINC000085396643
COC(=O)C[C@@H](O)CCl ZINC000002564702
O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CCl ZINC000005132008
CC1(C)Cc2ccccc2C(CCl)=N1 ZINC000000087206
O=C(CCl)NCCN1CC2(COC2)C1 ZINC001875367414
COC(=O)[C@H](Br)C1CCCCC1 ZINC000001648976
COc1ccc(Cn2ccnc2CCl)cc1 ZINC000000494623
Cc1cc(C)c(NC(=O)C(Cl)Cl)c(C)c1 ZINC000000442384
C[C@@H](F)COCCCl ZINC001083806976
ClC(Cl)c1ccncc1 ZINC000138396828
CC(=O)OCCOCCCl ZINC000001698671
O=C(CCl)[C@@H]1CC12CCCC2 ZINC001857784972
O=C(OCCSCCCl)c1ccccc1 ZINC000001667161
CC(C)=CCC/C(C)=C/CC/C(C)=C\CCl ZINC000095908319
BrCCOCc1ccccc1 ZINC000002004005
C[N+](C)(C)C[C@H](O)CCl ZINC000001682435
Cc1cccc(NC(=O)CCCCl)c1 ZINC000002166695
O=C(CCl)c1ccncn1 ZINC000104817147
COCCN(C(=O)CCl)C1=CCCCC1 ZINC000004206116
O=C1CCC[C@@H]1Cl ZINC000002031398
O=[S@](CCCl)c1ccccc1 ZINC000006116581
COc1ccc(-c2nnc([C@@H](C)Cl)o2)cc1 ZINC000004207320
Fc1cccc(F)c1-c1noc(CCl)n1 ZINC000089262022
CC1CCC(NC(=O)[C@H](C)Cl)CC1 ZINC000019802928
N#C[C@H](Br)c1ccccc1 ZINC000005934388
N#CCCN(C(=O)CCl)C1CC1 ZINC000038099039
O[C@H](CCBr)c1ccccc1 ZINC000034089763
FC(F)(F)O[C@@H]1CCC[C@@H](Br)C1 ZINC000952958870
CC(C)(C)OC(=O)N[C@H](CO)CCl ZINC000039093431
CC1(CBr)C(C#N)(C#N)C1(C#N)C#N ZINC000003121779
CCSc1ccc(C(=O)CCCCl)cc1 ZINC000036198230
Cc1nn2c(O)cc(CCl)nc2c1C ZINC001772716343
CCOC(=O)[C@H]1CCCN1C(=O)CCl ZINC000041707354
Cc1ccccc1CCl ZINC000002034794
C[C@@]1(O)CCC[C@H]1NC(=O)CCl ZINC001875375060
C[C@H](Cl)C[C@H]1CCOC1 ZINC000575531936
Cc1ccc(SCCBr)cc1C ZINC000019514521
O=C(CCl)NCc1ccsc1 ZINC000063153195
CCC[C@@H](Br)CBr ZINC000002016740
CS(=O)(=O)NCCCBr ZINC000034409015
O=C(CCl)NC[C@@H]1CC(=O)N(C2CC2)C1 ZINC001875374789
Cc1ccc(F)cc1CBr ZINC000002382205
CCOC(=O)NN=CCBr ZINC000254369208
BrC[C@@H]1CCCN2CCCC[C@H]12 ZINC000003881641
O=c1[nH]c(CCl)nc2ccccc12 ZINC000017744160
CCO[C@H](CCCl)c1ccc(C)cc1 ZINC000002043957
O[C@@H](CBr)[C@@H]1CCCOC1 ZINC000242688587
CC(C)[C@H](Br)C(=O)c1ccccc1 ZINC000019843054
C[C@@H](NC(=O)CCl)c1ccc(F)cc1F ZINC000003445776
CC[C@H](NC(=O)CCl)c1cccc(OC)n1 ZINC001875379680
N#C[C@H](Cl)c1ccccc1C(F)(F)F ZINC000045626896
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)CCl)C2 ZINC000256007913
O=C(OCCCCCCCl)c1ccccc1 ZINC000002518759
O=C1CCC[C@@H]1Br ZINC000033992166
Cc1c(F)c(F)c(CCl)c(F)c1F ZINC000086861387
Fc1ccc2nc(CCl)oc2c1 ZINC000075772014
CC(C)(F)CI ZINC000196635110
BrC[C@@H]1C[C@H]2C=C[C@H]1C2 ZINC000115016525
FC[C@H](Cl)C(F)(F)F ZINC000096342004
ClCCSc1ccc2ccccc2c1 ZINC000001736440
Fc1ccc(-c2oncc2CCl)cc1 ZINC000072226830
FC(F)=CCCl ZINC000071790189
CCOC(=O)C[C@H](Br)C=O ZINC000034592167
FC(F)COc1cccc(CCl)c1 ZINC000037756191
F[C@H](Br)c1ccccc1 ZINC000002032475
CO[Si](C)(C)CCl ZINC000169877078
CC1CCN(C(=O)[C@H](C)Cl)CC1 ZINC000003886978
COC(=O)[C@@H](Cl)C(=O)C(C)(C)C ZINC000000161587
O=S(=O)(O)[C@@H](O)CCCCl ZINC000016696675
Cl[C@H]1CC[C@H]2S[C@H]1CC[C@H]2Cl ZINC000108416995
ClCC1=NO[C@H]2OCC[C@@H]12 ZINC001857781978
COc1cc(CCl)cc2c1OCO2 ZINC000034186837
COC(=O)N(C)CCCl ZINC000104724258
CC[C@H](Cl)CCl ZINC000001609554
CCCCNC(=O)NC(=O)CCl ZINC000001726206
