CC(C)(C)NS(=O)(=O)c1cc(N)ccc1F ZINC000037052571
CCN1CCN[C@H](CC(=O)OC)C1=O ZINC000039100630
CC(C)CCc1cncc(N)c1 ZINC000082404188
COc1cc(N)ccc1NC(=O)[C@@H]1CCCO1 ZINC000020157198
Cc1cccc(-c2nc(C(C)C)no2)c1N ZINC000021512112
Cc1nc(C2CC2)cc(N2CCCNCC2)n1 ZINC000096516916
COc1cc(N)ccc1N ZINC000004807288
Fc1ccc(CO[C@@H]2CCCNC2)cc1F ZINC000035781797
CNc1nccnc1N ZINC000022115548
C[C@H](N)c1cccc(OC(F)F)c1 ZINC000021949384
CCC(=O)Nc1cccc(N)c1C ZINC000008703429
C[C@H]1CCOCCN1 ZINC000082835625
C[C@@H](NC1CC1)C(=O)N1CCOCC1 ZINC000020299959
NC[C@@H]1CCC=CCCC1 ZINC000104634139
CS(=O)(=O)[C@H](CO)[C@@H](N)c1cccc(N)c1 ZINC000096525062
Nc1ccccc1NC/C=C\c1ccccc1 ZINC000012356944
CNCC[C@@H](c1ccc(OC)c(OC)c1)C1CC1 ZINC000011630151
Cc1cc(OCc2ccccc2)ccc1N ZINC000014630782
CCc1nnc(NC(=O)[C@H](C)N)s1 ZINC000082255764
CC[C@@H](N)c1ccc(C(F)(F)F)c(F)c1 ZINC000083304991
Nc1ccnc(-c2cc(N)ccn2)c1 ZINC000031519468
CNCc1ccc(-c2nnc(C)o2)cc1 ZINC000014989047
CN[C@@H](C(=O)OC)c1cccc(OC)c1 ZINC000037458454
COC(=O)[C@@H]1C[C@H]2CC[C@H]1C[C@H]2N ZINC000306484203
Cc1cc(N)n2nc(-c3ccccc3)cc2n1 ZINC000002484459
c1ccc2c(c1)CNCc1ccccc1-2 ZINC000001727821
COC(=O)CCCCCCN ZINC000020362930
CNCC(=O)Nc1c(C)n[nH]c1C ZINC000003336044
Nc1nc(N2CCC[C@H](N)C2)cc(=O)[nH]1 ZINC000040457266
O=C(NC1CCCCCC1)C1CCNCC1 ZINC000002585089
