O=C(O)[C@@H](O)c1cc(F)cc(Cl)c1Cl ZINC000263623615
C[C@H](CC(=O)O)c1ccccc1Cl ZINC000041209567
O=C(O)c1nc2[nH]ccc2cc1Cl ZINC000066054286
O=C(O)CCn1cc(Cl)cn1 ZINC000002549514
CN(CCC(=O)O)c1ccc(Cl)cc1 ZINC000020133763
N#C[C@@H](Cc1cc(Cl)ccc1Cl)C(=O)O ZINC000585656350
CCn1cc(Cl)c(C(=O)O)n1 ZINC000002389251
CCOc1c(C(=O)O)cc(Cl)cc1[N+](=O)[O-] ZINC000057332056
O=C(O)CNc1cc(Cl)ccc1C(=O)O ZINC000021988796
NCc1ccc(C(=O)O)c(Cl)c1 ZINC000115769924
